Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Omega_ref(rad/s)
0, 26380455, 26380983, 1.57080722, 1.34374714, -0.01587677, 0.40385768
1, 26381455, 26381987, 1.57082939, 1.34374714, -0.01587677, 0.28846979
2, 26382455, 26382983, 1.57086372, 1.34374714, -0.01587677, 0.63463354
3, 26383455, 26383985, 1.57090974, 1.34412956, -0.01587677, 2.82700396
4, 26384455, 26384985, 1.57096767, 1.34451103, 0.04762268, 2.82700396
5, 26385455, 26385984, 1.57103670, 1.34527397, 0.11111450, 2.71161604
6, 26386455, 26386982, 1.57111704, 1.34603691, 0.20635223, 2.94239187
7, 26387455, 26387988, 1.57120883, 1.34718132, 0.30158997, 3.17316747
8, 26388455, 26388982, 1.57131147, 1.34832573, 0.46031952, 3.51933122
9, 26389455, 26389980, 1.57142413, 1.35023308, 0.65079498, 3.05777979
10, 26390455, 26390979, 1.57154715, 1.35214043, 0.87301636, 3.05777979
11, 26391455, 26391979, 1.57168007, 1.35404778, 1.12698364, 3.17316747
12, 26392455, 26392981, 1.57182252, 1.35671806, 1.34920502, 2.94239187
13, 26393455, 26393987, 1.57197475, 1.35938835, 1.60317230, 2.48084021
14, 26394455, 26394979, 1.57213724, 1.36205864, 1.85713959, 2.13467646
15, 26395455, 26395988, 1.57230949, 1.36511040, 2.07936859, 2.01928854
16, 26396455, 26396980, 1.57249093, 1.36816216, 2.33333588, 2.01928854
17, 26397455, 26397986, 1.57268095, 1.37159538, 2.55555725, 2.01928854
18, 26398455, 26398976, 1.57287896, 1.37502861, 2.74603271, 2.13467646
19, 26399455, 26399976, 1.57308400, 1.37846184, 2.90476227, 1.67312467
20, 26400455, 26400976, 1.57329535, 1.38189507, 3.15872955, 1.32696104
21, 26401455, 26401975, 1.57351267, 1.38570976, 3.25396729, 1.67312467
22, 26402455, 26402977, 1.57373571, 1.38952446, 3.38095093, 1.44234896
23, 26403455, 26403977, 1.57396400, 1.39372063, 3.50793457, 0.75002146
24, 26404455, 26404983, 1.57419550, 1.39753532, 3.60317230, 0.75002146
25, 26405455, 26405977, 1.57442832, 1.40173149, 3.69841003, 0.75002146
26, 26406455, 26406979, 1.57466257, 1.40554619, 3.79364777, 0.40385768
27, 26407455, 26407984, 1.57489717, 1.40974331, 3.85713959, 0.51924562
28, 26408455, 26408980, 1.57513118, 1.41393948, 3.82539368, 0.51924562
29, 26409455, 26409982, 1.57536411, 1.41813564, 3.95237732, 0.75002146
30, 26410455, 26410986, 1.57559526, 1.42195034, 4.01587677, 0.17308187
31, 26411455, 26411974, 1.57582295, 1.42614651, 4.01587677, 0.28846979
32, 26412455, 26412978, 1.57604706, 1.43034267, 4.07936859, 0.17308187
33, 26413455, 26413981, 1.57626736, 1.43415737, 4.07936859, 0.17308187
34, 26414455, 26414983, 1.57648468, 1.43835354, 4.07936859, -0.05769395
35, 26415455, 26415981, 1.57669890, 1.44254971, 4.07936859, 0.05769395
36, 26416455, 26416985, 1.57690978, 1.44636440, 4.07936859, 0.17308187
37, 26417455, 26417987, 1.57711709, 1.45017910, 4.01587677, 0.17308187
38, 26418455, 26418982, 1.57732022, 1.45399380, 3.98412323, 0.28846979
39, 26419455, 26419982, 1.57751930, 1.45780849, 3.95237732, -0.05769395
40, 26420455, 26420980, 1.57771611, 1.46162319, 3.92063141, -0.05769395
41, 26421455, 26421992, 1.57791114, 1.46543789, 3.85713959, -0.17308187
42, 26422455, 26422996, 1.57810521, 1.46887207, 3.82539368, -0.05769395
43, 26423455, 26423981, 1.57829857, 1.47230530, 3.76190186, -0.28846979
44, 26424455, 26424991, 1.57849169, 1.47612000, 3.73015594, -0.17308187
45, 26425455, 26425985, 1.57868516, 1.47955322, 3.69841003, 0.05769395
46, 26426455, 26426991, 1.57888019, 1.48298645, 3.66666412, -0.05769395
47, 26427455, 26427987, 1.57907772, 1.48641968, 3.60317230, -0.28846979
48, 26428455, 26428983, 1.57927895, 1.49023438, 3.53968048, -0.28846979
49, 26429455, 26429986, 1.57948613, 1.49328613, 3.50793457, -0.17308187
50, 26430455, 26430990, 1.57970285, 1.49633789, 3.41269684, -0.17308187
51, 26431455, 26431978, 1.57992995, 1.49977112, 3.38095093, -0.28846979
52, 26432455, 26432986, 1.58016896, 1.50282288, 3.31745911, -0.17308187
53, 26433455, 26433984, 1.58042288, 1.50587463, 3.28571320, -0.28846979
54, 26434455, 26434976, 1.58069456, 1.50892639, 3.22222137, -0.28846979
55, 26435455, 26435987, 1.58098662, 1.51197815, 3.15872955, -0.28846979
56, 26436455, 26436981, 1.58130169, 1.51464844, 3.12698364, -0.05769395
57, 26437455, 26437985, 1.58164382, 1.51770020, 3.03174591, -0.40385768
58, 26438455, 26438991, 1.58201683, 1.52037048, 3.03174591, -0.40385768
59, 26439455, 26439987, 1.58242500, 1.52304077, 2.96825409, -0.51924562
60, 26440455, 26440988, 1.58287156, 1.52571106, 2.87301636, -0.51924562
61, 26441455, 26441982, 1.58336043, 1.52838135, 2.80952454, -0.28846979
62, 26442455, 26442988, 1.58389580, 1.53067017, 2.74603271, -0.28846979
63, 26443455, 26443986, 1.58448195, 1.53257847, 2.65079498, -0.51924562
64, 26444455, 26444980, 1.58512235, 1.53486729, 2.58730316, -0.40385768
65, 26445455, 26445982, 1.58582067, 1.53715611, 2.49206543, -0.51924562
66, 26446455, 26446983, 1.58658040, 1.53906345, 2.36508179, -0.86540931
67, 26447455, 26447987, 1.58740413, 1.54097080, 2.26984406, -0.40385768
68, 26448455, 26448983, 1.58829749, 1.54287815, 2.20635223, -0.40385768
69, 26449455, 26449987, 1.58926344, 1.54440403, 2.11111450, -0.40385768
70, 26450455, 26450989, 1.59030294, 1.54631138, 2.01587677, -0.40385768
71, 26451455, 26451987, 1.59141767, 1.54783726, 1.95237732, -0.28846979
72, 26452455, 26452988, 1.59260798, 1.54974461, 1.85713959, -0.51924562
73, 26453455, 26453986, 1.59387255, 1.55088902, 1.79364777, -0.17308187
74, 26454455, 26454984, 1.59520876, 1.55279636, 1.73015594, -0.40385768
75, 26455455, 26455984, 1.59661424, 1.55394077, 1.63491821, -0.40385768
76, 26456455, 26456982, 1.59808493, 1.55508518, 1.57142639, -0.28846979
77, 26457455, 26457987, 1.59961545, 1.55661106, 1.47618866, -0.17308187
78, 26458455, 26458987, 1.60119903, 1.55775547, 1.44444275, -0.17308187
79, 26459455, 26459985, 1.60282886, 1.55889988, 1.34920502, -0.17308187
80, 26460455, 26460985, 1.60449815, 1.56004429, 1.31745911, -0.28846979
81, 26461455, 26461987, 1.60620058, 1.56118870, 1.22222137, -0.17308187
82, 26462455, 26462989, 1.60792983, 1.56157017, 1.19047546, -0.17308187
83, 26463455, 26463986, 1.60967827, 1.56271458, 1.12698364, -0.05769395
84, 26464455, 26464984, 1.61144102, 1.56347752, 1.06349182, -0.17308187
85, 26465455, 26465990, 1.61321509, 1.56424046, 1.00000000, -0.05769395
86, 26466455, 26466984, 1.61499596, 1.56462193, 0.90476227, -0.17308187
87, 26467455, 26467982, 1.61678004, 1.56538486, 0.84127045, -0.17308187
88, 26468455, 26468983, 1.61856508, 1.56576633, 0.77777863, 0.05769395
89, 26469455, 26469985, 1.62035048, 1.56614780, 0.71428680, -0.17308187
90, 26470455, 26470985, 1.62213576, 1.56691074, 0.65079498, 0.17308187
91, 26471455, 26471983, 1.62392008, 1.56729221, 0.58730316, 0.05769395
92, 26472455, 26472995, 1.62570274, 1.56767368, 0.55555725, 0.17308187
93, 26473455, 26473985, 1.62748289, 1.56805515, 0.49206543, 0.40385768
94, 26474455, 26474986, 1.62926030, 1.56843662, 0.46031952, 0.17308187
95, 26475455, 26475980, 1.63103509, 1.56881809, 0.42857361, 0.63463354
96, 26476455, 26476980, 1.63280761, 1.56919956, 0.39682770, 0.28846979
97, 26477455, 26477980, 1.63457596, 1.56958103, 0.36508179, 0.28846979
98, 26478455, 26478978, 1.63633895, 1.56996250, 0.36508179, 0.40385768
99, 26479455, 26479980, 1.63809609, 1.57072544, 0.36508179, 0.98079723
100, 26480455, 26480977, 1.63984597, 1.57072544, 0.36508179, 0.86540931
101, 26481455, 26481977, 1.64158797, 1.57148838, 0.36508179, 0.75002146
102, 26482455, 26482979, 1.64332116, 1.57186985, 0.39682770, 0.98079723
103, 26483455, 26483975, 1.64504385, 1.57263279, 0.42857361, 0.98079723
104, 26484455, 26484977, 1.64675355, 1.57339573, 0.46031952, 0.98079723
105, 26485455, 26485980, 1.64844906, 1.57415867, 0.49206543, 0.75002146
106, 26486455, 26486988, 1.65012753, 1.57454014, 0.52381134, 1.09618521
107, 26487455, 26487978, 1.65178800, 1.57530308, 0.58730316, 1.09618521
108, 26488455, 26488974, 1.65342963, 1.57606602, 0.61904907, 0.98079723
109, 26489455, 26489974, 1.65505064, 1.57721043, 0.65079498, 0.98079723
110, 26490455, 26490976, 1.65664899, 1.57797337, 0.71428680, 0.86540931
111, 26491455, 26491975, 1.65822375, 1.57873631, 0.74603271, 0.86540931
112, 26492455, 26492973, 1.65977538, 1.57988071, 0.80952454, 0.86540931
113, 26493455, 26493975, 1.66130316, 1.58064365, 0.84127045, 1.09618521
114, 26494455, 26494973, 1.66280663, 1.58178806, 0.90476227, 1.09618521
115, 26495455, 26495973, 1.66428626, 1.58331394, 0.90476227, 0.75002146
116, 26496455, 26496974, 1.66574144, 1.58407688, 0.96825409, 0.86540931
117, 26497455, 26497974, 1.66717315, 1.58560276, 1.03174591, 0.98079723
118, 26498455, 26498988, 1.66858196, 1.58712864, 1.06349182, 0.98079723
119, 26499455, 26499988, 1.66996777, 1.58827305, 1.12698364, 0.98079723
120, 26500455, 26500972, 1.67133152, 1.58979893, 1.15872955, 0.75002146
121, 26501455, 26501974, 1.67267263, 1.59094334, 1.19047546, 0.86540931
122, 26502455, 26502984, 1.67399240, 1.59246922, 1.28571320, 0.86540931
123, 26503455, 26503985, 1.67529154, 1.59399605, 1.31745911, 0.63463354
124, 26504455, 26504971, 1.67657042, 1.59552193, 1.34920502, 0.51924562
125, 26505455, 26505971, 1.67782915, 1.59704781, 1.41269684, 0.40385768
126, 26506455, 26506973, 1.67906773, 1.59857368, 1.44444275, 0.40385768
127, 26507455, 26507985, 1.68028700, 1.60048103, 1.47618866, 0.28846979
128, 26508455, 26508987, 1.68148649, 1.60200691, 1.50793457, 0.86540931
129, 26509455, 26509983, 1.68266535, 1.60353279, 1.53968048, 0.51924562
130, 26510455, 26510984, 1.68382418, 1.60505867, 1.53968048, 0.75002146
131, 26511455, 26511982, 1.68496311, 1.60658455, 1.57142639, 0.51924562
132, 26512455, 26512982, 1.68608201, 1.60849190, 1.60317230, 0.75002146
133, 26513455, 26513986, 1.68718112, 1.61001778, 1.60317230, 0.40385768
134, 26514455, 26514984, 1.68826032, 1.61192513, 1.60317230, 0.51924562
135, 26515455, 26515985, 1.68931925, 1.61345100, 1.63491821, 0.75002146
136, 26516455, 26516985, 1.69035816, 1.61535835, 1.63491821, 0.86540931
137, 26517455, 26517985, 1.69137621, 1.61688423, 1.63491821, 0.51924562
138, 26518455, 26518987, 1.69237244, 1.61879158, 1.66666412, 0.51924562
139, 26519455, 26519985, 1.69334757, 1.62031746, 1.66666412, 0.51924562
140, 26520455, 26520982, 1.69430125, 1.62222481, 1.66666412, 0.40385768
141, 26521455, 26521986, 1.69523227, 1.62375069, 1.69841003, 0.40385768
142, 26522455, 26522982, 1.69614244, 1.62565804, 1.69841003, 0.63463354
143, 26523455, 26523984, 1.69703174, 1.62718391, 1.69841003, 0.40385768
144, 26524455, 26524984, 1.69790065, 1.62870979, 1.69841003, 0.51924562
145, 26525455, 26525980, 1.69875026, 1.63061714, 1.69841003, 0.40385768
146, 26526455, 26526979, 1.69958055, 1.63214302, 1.66666412, 0.40385768
147, 26527455, 26527987, 1.70039177, 1.63405037, 1.66666412, 0.17308187
148, 26528455, 26528983, 1.70118463, 1.63557625, 1.66666412, 0.51924562
149, 26529455, 26529983, 1.70195997, 1.63710213, 1.66666412, 0.51924562
150, 26530455, 26530983, 1.70271838, 1.63862801, 1.66666412, 0.17308187
151, 26531455, 26531983, 1.70346129, 1.64053535, 1.63491821, 0.28846979
152, 26532455, 26532986, 1.70418847, 1.64206123, 1.63491821, 0.28846979
153, 26533455, 26533986, 1.70490015, 1.64396858, 1.66666412, 0.17308187
154, 26534455, 26534982, 1.70559537, 1.64511299, 1.63491821, 0.28846979
155, 26535455, 26535980, 1.70627511, 1.64702034, 1.60317230, 0.28846979
156, 26536455, 26536982, 1.70693910, 1.64816475, 1.60317230, 0.51924562
157, 26537455, 26537981, 1.70758688, 1.65007210, 1.57142639, 0.28846979
158, 26538455, 26538979, 1.70821846, 1.65121651, 1.57142639, 0.28846979
159, 26539455, 26539981, 1.70883453, 1.65274239, 1.53968048, 0.17308187
160, 26540455, 26540985, 1.70943594, 1.65426826, 1.50793457, 0.28846979
161, 26541455, 26541985, 1.71002281, 1.65579414, 1.47618866, 0.28846979
162, 26542455, 26542981, 1.71059465, 1.65732098, 1.44444275, 0.51924562
163, 26543455, 26543986, 1.71115220, 1.65846539, 1.47618866, 0.40385768
164, 26544455, 26544984, 1.71169603, 1.65999126, 1.44444275, 0.17308187
165, 26545455, 26545982, 1.71222711, 1.66113567, 1.44444275, 0.40385768
166, 26546455, 26546982, 1.71274531, 1.66266155, 1.41269684, 0.17308187
167, 26547455, 26547984, 1.71325064, 1.66380596, 1.38095093, 0.17308187
168, 26548455, 26548991, 1.71374393, 1.66533184, 1.34920502, -0.05769395
169, 26549455, 26549979, 1.71422744, 1.66647625, 1.34920502, 0.40385768
170, 26550455, 26550981, 1.71470094, 1.66762066, 1.34920502, 0.17308187
171, 26551455, 26551979, 1.71516573, 1.66914654, 1.31745911, 0.05769395
172, 26552455, 26552985, 1.71562147, 1.67029095, 1.25396729, 0.05769395
173, 26553455, 26553979, 1.71606958, 1.67143536, 1.25396729, 0.17308187
174, 26554455, 26554980, 1.71651089, 1.67296124, 1.22222137, 0.05769395
175, 26555455, 26555978, 1.71694613, 1.67372417, 1.19047546, 0.28846979
176, 26556455, 26556984, 1.71737504, 1.67486858, 1.22222137, 0.28846979
177, 26557455, 26557982, 1.71779883, 1.67639446, 1.19047546, 0.28846979
178, 26558455, 26558982, 1.71821725, 1.67715740, 1.15872955, 0.17308187
179, 26559455, 26559986, 1.71863091, 1.67830181, 1.12698364, 0.17308187
180, 26560455, 26560989, 1.71903980, 1.67944622, 1.12698364, 0.17308187
181, 26561455, 26561977, 1.71944296, 1.68020916, 1.09523773, 0.05769395
182, 26562455, 26562983, 1.71984041, 1.68135357, 1.06349182, 0.17308187
183, 26563455, 26563985, 1.72023165, 1.68249798, 1.06349182, 0.05769395
184, 26564455, 26564981, 1.72061551, 1.68287945, 1.00000000, 0.51924562
185, 26565455, 26565984, 1.72099221, 1.68402386, 0.96825409, -0.05769395
186, 26566455, 26566984, 1.72136068, 1.68478680, 0.96825409, 0.17308187
187, 26567455, 26567984, 1.72172070, 1.68593121, 0.93650818, 0.51924562
188, 26568455, 26568984, 1.72207069, 1.68669415, 0.93650818, 0.28846979
189, 26569455, 26569980, 1.72240937, 1.68745708, 0.90476227, 0.17308187
190, 26570455, 26570978, 1.72273564, 1.68822002, 0.87301636, 0.51924562
191, 26571455, 26571985, 1.72304904, 1.68898296, 0.84127045, 0.28846979
192, 26572455, 26572981, 1.72334874, 1.68974590, 0.84127045, 0.40385768
193, 26573455, 26573987, 1.72363412, 1.69050884, 0.84127045, 0.05769395
194, 26574455, 26574983, 1.72390342, 1.69165325, 0.80952454, 0.28846979
195, 26575455, 26575983, 1.72415495, 1.69203472, 0.77777863, 0.17308187
196, 26576455, 26576984, 1.72438788, 1.69279766, 0.77777863, 0.17308187
197, 26577455, 26577988, 1.72460175, 1.69356060, 0.77777863, 0.17308187
198, 26578455, 26578984, 1.72479546, 1.69432354, 0.74603271, 0.05769395
199, 26579455, 26579986, 1.72496867, 1.69508648, 0.71428680, 0.17308187
200, 26580455, 26580984, 1.72512150, 1.69546795, 0.68254089, -0.05769395
201, 26581455, 26581982, 1.72525203, 1.69623089, 0.68254089, 0.05769395
202, 26582455, 26582987, 1.72535968, 1.69661236, 0.68254089, 0.17308187
203, 26583455, 26583983, 1.72544312, 1.69737530, 0.68254089, 0.28846979
204, 26584455, 26584985, 1.72550094, 1.69813824, 0.61904907, 0.28846979
205, 26585455, 26585983, 1.72553241, 1.69851971, 0.58730316, 0.17308187
206, 26586455, 26586989, 1.72553718, 1.69890118, 0.55555725, 0.17308187
207, 26587455, 26587983, 1.72551370, 1.69928265, 0.55555725, 0.17308187
208, 26588455, 26588986, 1.72546101, 1.69966412, 0.55555725, 0.05769395
209, 26589455, 26589990, 1.72537875, 1.70042706, 0.52381134, -0.05769395
210, 26590455, 26590988, 1.72526491, 1.70080853, 0.49206543, 0.17308187
211, 26591455, 26591986, 1.72511792, 1.70118999, 0.49206543, 0.28846979
212, 26592455, 26592988, 1.72493768, 1.70157146, 0.49206543, 0.05769395
213, 26593455, 26593983, 1.72472358, 1.70195293, 0.46031952, 0.28846979
214, 26594455, 26594989, 1.72447574, 1.70271587, 0.42857361, 0.40385768
215, 26595455, 26595983, 1.72419381, 1.70309734, 0.42857361, 0.17308187
216, 26596455, 26596985, 1.72387660, 1.70347881, 0.42857361, 0.05769395
217, 26597455, 26597983, 1.72352409, 1.70347881, 0.42857361, -0.05769395
218, 26598455, 26598987, 1.72313702, 1.70424175, 0.42857361, 0.05769395
219, 26599455, 26599986, 1.72271490, 1.70462322, 0.39682770, 0.28846979
220, 26600455, 26600982, 1.72225666, 1.70500469, 0.39682770, 0.17308187
221, 26601455, 26601980, 1.72176230, 1.70538616, 0.39682770, 0.28846979
222, 26602455, 26602982, 1.72123206, 1.70576763, 0.39682770, 0.28846979
223, 26603455, 26603984, 1.72066712, 1.70614910, 0.36508179, 0.05769395
224, 26604455, 26604978, 1.72006857, 1.70653057, 0.33333588, 0.28846979
225, 26605455, 26605987, 1.71943617, 1.70653057, 0.33333588, 0.40385768
226, 26606455, 26606985, 1.71876943, 1.70691204, 0.33333588, 0.40385768
227, 26607455, 26607979, 1.71806931, 1.70691204, 0.30158997, 0.40385768
228, 26608455, 26608983, 1.71733689, 1.70729351, 0.26984406, 0.28846979
229, 26609455, 26609983, 1.71657288, 1.70729351, 0.26984406, 0.28846979
230, 26610455, 26610982, 1.71577787, 1.70767498, 0.23809814, 0.28846979
231, 26611455, 26611984, 1.71495271, 1.70767498, 0.20635223, 0.28846979
232, 26612455, 26612984, 1.71409678, 1.70805645, 0.20635223, 0.28846979
233, 26613455, 26613984, 1.71321011, 1.70805645, 0.20635223, 0.28846979
234, 26614455, 26614984, 1.71229267, 1.70805645, 0.17460632, 0.17308187
235, 26615455, 26615981, 1.71134508, 1.70843792, 0.14286041, 0.28846979
236, 26616455, 26616983, 1.71036839, 1.70843792, 0.14286041, 0.40385768
237, 26617455, 26617981, 1.70936286, 1.70843792, 0.11111450, 0.28846979
238, 26618455, 26618981, 1.70832872, 1.70843792, 0.07936859, 0.28846979
239, 26619455, 26619981, 1.70726562, 1.70843792, 0.07936859, 0.40385768
240, 26620455, 26620981, 1.70617354, 1.70881939, 0.07936859, 0.28846979
241, 26621455, 26621980, 1.70505381, 1.70881939, 0.07936859, 0.40385768
242, 26622455, 26622984, 1.70390701, 1.70881939, 0.07936859, 0.17308187
243, 26623455, 26623984, 1.70273316, 1.70881939, 0.04762268, 0.28846979
244, 26624455, 26624982, 1.70153272, 1.70843792, 0.01587677, 0.28846979
245, 26625455, 26625984, 1.70030594, 1.70843792, -0.01587677, 0.17308187
246, 26626455, 26626980, 1.69905281, 1.70843792, -0.01587677, 0.28846979
247, 26627455, 26627981, 1.69777477, 1.70843792, -0.01587677, 0.28846979
248, 26628455, 26628981, 1.69647074, 1.70843792, -0.04762268, 0.28846979
249, 26629455, 26629983, 1.69514060, 1.70843792, -0.04762268, 0.17308187
250, 26630455, 26630979, 1.69378448, 1.70805645, -0.04762268, 0.28846979
251, 26631455, 26631991, 1.69240272, 1.70805645, -0.07936859, 0.28846979
252, 26632455, 26632982, 1.69099522, 1.70805645, -0.11111450, 0.17308187
253, 26633455, 26633978, 1.68956208, 1.70767498, -0.07936859, 0.28846979
254, 26634455, 26634978, 1.68810201, 1.70767498, -0.07936859, 0.28846979
255, 26635455, 26635976, 1.68661523, 1.70767498, -0.11111450, 0.28846979
256, 26636455, 26636978, 1.68510211, 1.70729351, -0.11111450, 0.17308187
257, 26637455, 26637978, 1.68356264, 1.70729351, -0.14286041, 0.05769395
258, 26638455, 26638977, 1.68199742, 1.70691204, -0.17460632, 0.17308187
259, 26639455, 26639977, 1.68040645, 1.70691204, -0.14286041, 0.05769395
260, 26640455, 26640975, 1.67879033, 1.70691204, -0.17460632, 0.17308187
261, 26641455, 26641975, 1.67714894, 1.70691204, -0.17460632, 0.05769395
262, 26642455, 26642977, 1.67548251, 1.70653057, -0.17460632, 0.17308187
263, 26643455, 26643976, 1.67379081, 1.70614910, -0.20635223, 0.17308187
264, 26644455, 26644978, 1.67207468, 1.70614910, -0.20635223, 0.05769395
265, 26645455, 26645976, 1.67033553, 1.70576763, -0.20635223, 0.05769395
266, 26646455, 26646976, 1.66857433, 1.70538616, -0.20635223, -0.05769395
267, 26647455, 26647988, 1.66679096, 1.70538616, -0.20635223, -0.05769395
268, 26648455, 26648976, 1.66498661, 1.70500469, -0.23809814, 0.05769395
269, 26649455, 26649977, 1.66316187, 1.70462322, -0.23809814, 0.05769395
270, 26650455, 26650973, 1.66131747, 1.70424175, -0.26984406, -0.17308187
271, 26651455, 26651985, 1.65945554, 1.70386028, -0.26984406, -0.05769395
272, 26652455, 26652973, 1.65757668, 1.70347881, -0.30158997, -0.05769395
273, 26653455, 26653975, 1.65568042, 1.70347881, -0.33333588, -0.05769395
274, 26654455, 26654973, 1.65376830, 1.70271587, -0.36508179, -0.28846979
275, 26655455, 26655988, 1.65183926, 1.70233440, -0.36508179, -0.17308187
276, 26656455, 26656982, 1.64989424, 1.70157146, -0.39682770, -0.40385768
277, 26657455, 26657984, 1.64793313, 1.70118999, -0.42857361, -0.40385768
278, 26658455, 26658970, 1.64595604, 1.70080853, -0.46031952, -0.40385768
279, 26659455, 26659984, 1.64396322, 1.70004559, -0.49206543, 0.05769395
280, 26660455, 26660972, 1.64195335, 1.69928265, -0.52381134, -0.05769395
281, 26661455, 26661985, 1.63992703, 1.69890118, -0.52381134, -0.17308187
282, 26662455, 26662969, 1.63788533, 1.69813824, -0.55555725, -0.28846979
283, 26663455, 26663971, 1.63582683, 1.69737530, -0.58730316, -0.17308187
284, 26664455, 26664983, 1.63375080, 1.69661236, -0.65079498, -0.28846979
285, 26665455, 26665989, 1.63165736, 1.69584942, -0.68254089, -0.17308187
286, 26666455, 26666989, 1.62954724, 1.69508648, -0.68254089, -0.40385768
287, 26667455, 26667984, 1.62741876, 1.69432354, -0.71428680, -0.28846979
288, 26668455, 26668984, 1.62527311, 1.69317913, -0.74603271, -0.40385768
289, 26669455, 26669984, 1.62310934, 1.69241619, -0.80952454, -0.28846979
290, 26670455, 26670980, 1.62092817, 1.69165325, -0.84127045, -0.28846979
291, 26671455, 26671988, 1.61872864, 1.69050884, -0.87301636, -0.40385768
292, 26672455, 26672985, 1.61651170, 1.68898296, -0.90476227, -0.51924562
293, 26673455, 26673983, 1.61427867, 1.68822002, -1.12698364, -0.28846979
294, 26674455, 26674989, 1.61202979, 1.68707561, -1.03174591, -0.05769395
295, 26675455, 26675981, 1.60976565, 1.68593121, -1.06349182, -0.40385768
296, 26676455, 26676981, 1.60748601, 1.68440533, -1.09523773, -0.28846979
297, 26677455, 26677983, 1.60519147, 1.68287945, -1.12698364, 0.05769395
298, 26678455, 26678984, 1.60288370, 1.68173504, -1.19047546, 0.05769395
299, 26679455, 26679984, 1.60056257, 1.68020916, -1.22222137, -0.05769395
300, 26680455, 26680986, 1.59822929, 1.67906475, -1.25396729, -0.40385768
301, 26681455, 26681988, 1.59588468, 1.67715740, -1.15872955, -0.05769395
302, 26682455, 26682982, 1.59352839, 1.67601299, -1.34920502, -0.17308187
303, 26683455, 26683981, 1.59116101, 1.67410564, -1.41269684, -0.17308187
304, 26684455, 26684985, 1.58878541, 1.67257977, -1.47618866, -0.28846979
305, 26685455, 26685985, 1.58640254, 1.67067242, -1.50793839, -0.28846979
306, 26686455, 26686987, 1.58401382, 1.66914654, -1.57143021, -0.17308187
307, 26687455, 26687981, 1.58161902, 1.66723919, -1.60317612, -0.28846979
308, 26688455, 26688987, 1.57921922, 1.66571331, -1.66666794, -0.05769395
309, 26689455, 26689984, 1.57681632, 1.66380596, -1.69841385, -0.40385768
310, 26690455, 26690984, 1.57441056, 1.66189861, -1.73015976, -0.17308187
311, 26691455, 26691988, 1.57200289, 1.66037273, -1.76190567, -0.28846979
312, 26692455, 26692988, 1.56959355, 1.65808392, -1.79365158, -0.28846979
313, 26693455, 26693988, 1.56718314, 1.65617561, -1.82539749, -0.05769395
314, 26694455, 26694986, 1.56477356, 1.65426826, -1.85714340, -0.40385768
315, 26695455, 26695985, 1.56236458, 1.65197945, -1.92063522, -0.05769395
316, 26696455, 26696983, 1.55995643, 1.65007210, -1.95238113, 0.05769395
317, 26697455, 26697985, 1.55755055, 1.64778328, -1.98412704, 0.05769395
318, 26698455, 26698995, 1.55514586, 1.64549446, -2.04761887, -0.17308187
319, 26699455, 26699989, 1.55274284, 1.64358711, -2.04761887, -0.17308187
320, 26700455, 26700982, 1.55034208, 1.64129829, -2.11111069, -0.05769395
321, 26701455, 26701986, 1.54794443, 1.63862801, -2.14285660, -0.28846979
322, 26702455, 26702986, 1.54554844, 1.63672066, -2.20634842, -0.17308187
323, 26703455, 26703986, 1.54315436, 1.63443184, -2.20634842, -0.17308187
324, 26704455, 26704986, 1.54076242, 1.63176155, -2.26984024, -0.17308187
325, 26705455, 26705988, 1.53837192, 1.62947273, -2.26984024, -0.05769395
326, 26706455, 26706981, 1.53598213, 1.62680244, -2.33333206, -0.17308187
327, 26707455, 26707979, 1.53359449, 1.62451363, -2.36507797, -0.28846979
328, 26708455, 26708987, 1.53120780, 1.62222481, -2.36507797, 0.28846979
329, 26709455, 26709985, 1.52882206, 1.61993599, -2.39682388, -0.05769395
330, 26710455, 26710989, 1.52643764, 1.61688423, -2.42856979, -0.05769395
331, 26711455, 26711986, 1.52405345, 1.61459541, -2.46031570, 0.17308187
332, 26712455, 26712986, 1.52167010, 1.61192513, -2.49206161, 0.05769395
333, 26713455, 26713998, 1.51928687, 1.60925484, -2.52381134, -0.05769395
334, 26714455, 26714984, 1.51690304, 1.60658455, -2.52381134, 0.05769395
335, 26715455, 26715986, 1.51451743, 1.60391426, -2.55555725, 0.05769395
336, 26716455, 26716984, 1.51212978, 1.60162544, -2.58730316, -0.05769395
337, 26717455, 26717995, 1.50973880, 1.59895515, -2.58730316, 0.05769395
338, 26718455, 26718985, 1.50734425, 1.59628487, -2.61904907, -0.05769395
339, 26719455, 26719987, 1.50494671, 1.59361362, -2.61904907, 0.05769395
340, 26720455, 26720985, 1.50254667, 1.59056187, -2.65079498, 0.28846979
341, 26721455, 26721987, 1.50014412, 1.58789158, -2.68254089, 0.28846979
342, 26722455, 26722987, 1.49773824, 1.58522129, -2.65079498, 0.17308187
343, 26723455, 26723994, 1.49532998, 1.58255100, -2.65079498, 0.17308187
344, 26724455, 26724992, 1.49291873, 1.57988071, -2.68254089, -0.05769395
345, 26725455, 26725990, 1.49050617, 1.57721043, -2.68254089, 0.05769395
346, 26726455, 26726992, 1.48809171, 1.57415867, -2.71428680, 0.17308187
347, 26727455, 26727980, 1.48567593, 1.57186985, -2.71428680, 0.05769395
