Index, u_t(us), y_t(us), u(rad), Theta(rad), Omega(rad/s), Thetad(rad/s)
0, 27039749, 27040279, 0.00001083, -0.27714157, -0.01587677, 0.00000000
1, 27040749, 27041277, 0.00003307, -0.27714157, -0.01587677, 0.00000000
2, 27041749, 27042278, 0.00006734, -0.27714157, -0.01587677, -10.00000000
3, 27042749, 27043278, 0.00011346, -0.27714157, -0.01587677, -6.14130449
4, 27043749, 27044278, 0.00017130, -0.27714157, -0.01587677, -3.77156210
5, 27044749, 27045278, 0.00024042, -0.27714157, -0.01587677, -2.31623101
6, 27045749, 27046278, 0.00032070, -0.27714157, -0.01587677, -1.42246795
7, 27046749, 27047277, 0.00041249, -0.27714157, -0.01587677, -0.87358087
8, 27047749, 27048279, 0.00051515, -0.27714157, -0.01587677, -0.53649259
9, 27048749, 27049277, 0.00062783, -0.27714157, -0.01587677, -0.32947645
10, 27049749, 27050277, 0.00075080, -0.27714157, -0.01587677, -0.20234151
11, 27050749, 27051277, 0.00088377, -0.27714157, -0.01587677, -0.12426408
12, 27051749, 27052276, 0.00102619, -0.27714157, -0.01587677, -0.07631436
13, 27052749, 27053278, 0.00117848, -0.27714157, -0.01587677, -0.04686697
14, 27053749, 27054276, 0.00134092, -0.27714157, -0.01587677, -0.02878243
15, 27054749, 27055278, 0.00151316, -0.27714157, -0.01587677, -0.01767617
16, 27055749, 27056276, 0.00169463, -0.27714157, -0.01587677, -0.01085547
17, 27056749, 27057276, 0.00188464, -0.27714157, -0.01587677, -0.00666668
18, 27057749, 27058273, 0.00208259, -0.27714157, -0.01587677, -0.00409421
19, 27058749, 27059281, 0.00228762, -0.27714157, -0.01587677, -0.00251438
20, 27059749, 27060279, 0.00249905, -0.27714157, -0.01587677, -0.00154416
21, 27060749, 27061275, 0.00271636, -0.27714157, -0.01587677, -0.00094831
22, 27061749, 27062281, 0.00293933, -0.27714157, -0.01587677, -0.00058239
23, 27062749, 27063277, 0.00316765, -0.27714157, -0.01587677, -0.00035766
24, 27063749, 27064280, 0.00339912, -0.27714157, -0.01587677, -0.00021965
25, 27064749, 27065276, 0.00363205, -0.27714157, -0.01587677, -0.00013489
26, 27065749, 27066272, 0.00386629, -0.27714157, -0.01587677, -0.00008284
27, 27066749, 27067278, 0.00410083, -0.27714157, -0.01587677, -0.00005088
28, 27067749, 27068278, 0.00433482, -0.27714157, -0.01587677, -0.00003124
29, 27068749, 27069279, 0.00456778, -0.27714157, -0.01587677, -0.00001919
30, 27069749, 27070285, 0.00479889, -0.27714157, -0.01587677, -0.00001178
31, 27070749, 27071277, 0.00502658, -0.27714157, -0.01587677, -0.00000724
32, 27071749, 27072273, 0.00525075, -0.27714157, -0.01587677, -0.00000444
33, 27072749, 27073277, 0.00547101, -0.27714157, -0.01587677, -0.00000273
34, 27073749, 27074278, 0.00568835, -0.27714157, -0.01587677, -0.00000168
35, 27074749, 27075276, 0.00590253, -0.27714157, -0.01587677, -0.00000103
36, 27075749, 27076276, 0.00611343, -0.27714157, -0.01587677, -0.00000063
37, 27076749, 27077276, 0.00632077, -0.27714157, -0.01587677, -0.00000039
38, 27077749, 27078276, 0.00652394, -0.27714157, -0.01587677, -0.00000024
39, 27078749, 27079276, 0.00672296, -0.27714157, -0.01587677, -0.00000015
40, 27079749, 27080282, 0.00691980, -0.27714157, -0.01587677, -0.00000009
41, 27080749, 27081275, 0.00711486, -0.27714157, -0.01587677, -0.00000006
42, 27081749, 27082281, 0.00730887, -0.27714157, -0.01587677, -0.00000003
43, 27082749, 27083275, 0.00750219, -0.27714157, -0.01587677, -0.00000002
44, 27083749, 27084277, 0.00769531, -0.27714157, -0.01587677, -0.00000001
45, 27084749, 27085281, 0.00788881, -0.27714157, -0.01587677, -0.00000001
46, 27085749, 27086282, 0.00808385, -0.27714157, -0.01587677, -0.00000000
47, 27086749, 27087280, 0.00828145, -0.27714157, -0.01587677, -0.00000000
48, 27087749, 27088276, 0.00848259, -0.27714157, -0.01587677, -0.00000000
49, 27088749, 27089282, 0.00868985, -0.27714157, -0.01587677, -0.00000000
50, 27089749, 27090280, 0.00890651, -0.27714157, -0.01587677, -0.00000000
51, 27090749, 27091276, 0.00913365, -0.27714157, -0.01587677, -0.00000000
52, 27091749, 27092281, 0.00937261, -0.27714157, -0.01587677, -0.00000000
53, 27092749, 27093273, 0.00962651, -0.27714157, -0.01587677, -0.00000000
54, 27093749, 27094281, 0.00989818, -0.27714157, -0.01587677, -0.00000000
55, 27094749, 27095279, 0.01019028, -0.27714157, -0.01587677, -0.00000000
56, 27095749, 27096279, 0.01050542, -0.27714157, -0.01587677, -0.00000000
57, 27096749, 27097276, 0.01084749, -0.27714157, -0.01587677, -0.00000000
58, 27097749, 27098280, 0.01122053, -0.27714157, -0.01587677, -0.00000000
59, 27098749, 27099278, 0.01162873, -0.27714157, -0.01587677, -0.00000000
60, 27099749, 27100278, 0.01207521, -0.27714157, -0.01587677, -0.00000000
61, 27100749, 27101282, 0.01256411, -0.27714157, -0.01587677, -0.00000000
62, 27101749, 27102278, 0.01309945, -0.27714157, -0.01587677, -0.00000000
63, 27102749, 27103281, 0.01368558, -0.27714157, -0.01587677, -0.00000000
64, 27103749, 27104281, 0.01432606, -0.27714157, -0.01587677, -0.00000000
65, 27104749, 27105279, 0.01502429, -0.27714157, -0.01587677, -0.00000000
66, 27105749, 27106277, 0.01578406, -0.27714157, -0.01587677, -0.00000000
67, 27106749, 27107281, 0.01660781, -0.27714157, -0.01587677, -0.00000000
68, 27107749, 27108277, 0.01750111, -0.27714157, -0.01587677, -0.00000000
69, 27108749, 27109280, 0.01846707, -0.27714157, -0.01587677, -0.00000000
70, 27109749, 27110282, 0.01950662, -0.27714157, -0.01587677, -0.00000000
71, 27110749, 27111278, 0.02062138, -0.27714157, -0.01587677, -0.00000000
72, 27111749, 27112274, 0.02181171, -0.27714157, -0.01587677, -0.00000000
73, 27112749, 27113278, 0.02307617, -0.27714157, -0.01587677, -0.00000000
74, 27113749, 27114279, 0.02441250, -0.27714157, -0.01587677, -0.00000000
75, 27114749, 27115279, 0.02581796, -0.27714157, -0.01587677, -0.00000000
76, 27115749, 27116281, 0.02728863, -0.27714157, -0.01587677, -0.00000000
77, 27116749, 27117277, 0.02881918, -0.27714157, -0.01587677, -0.00000000
78, 27117749, 27118279, 0.03040276, -0.27714157, -0.01587677, -0.00000000
79, 27118749, 27119280, 0.03203255, -0.27714157, -0.01587677, -0.00000000
80, 27119749, 27120278, 0.03370178, -0.27714157, -0.01587677, -0.00000000
81, 27120749, 27121280, 0.03540427, -0.27714157, -0.01587677, -0.00000000
82, 27121749, 27122278, 0.03713353, -0.27714157, -0.01587677, -0.00000000
83, 27122749, 27123278, 0.03888198, -0.27714157, -0.01587677, -0.00000000
84, 27123749, 27124276, 0.04064473, -0.27714157, -0.01587677, -0.00000000
85, 27124749, 27125277, 0.04241879, -0.27714157, -0.01587677, -0.00000000
86, 27125749, 27126277, 0.04419958, -0.27714157, -0.01587677, -0.00000000
87, 27126749, 27127277, 0.04598371, -0.27714157, -0.01587677, -0.00000000
88, 27127749, 27128275, 0.04776875, -0.27714157, -0.01587677, -0.00000000
89, 27128749, 27129275, 0.04955415, -0.27714157, -0.01587677, -0.00000000
90, 27129749, 27130275, 0.05133944, -0.27714157, -0.01587677, -0.00000000
91, 27130749, 27131276, 0.05312381, -0.27714157, -0.01587677, -0.00000000
92, 27131749, 27132276, 0.05490645, -0.27714157, -0.01587677, -0.00000000
93, 27132749, 27133274, 0.05668656, -0.27714157, -0.01587677, -0.00000000
94, 27133749, 27134274, 0.05846393, -0.27714157, -0.01587677, -0.00000000
95, 27134749, 27135274, 0.06023876, -0.27714157, -0.01587677, -0.00000000
96, 27135749, 27136275, 0.06201129, -0.27714157, -0.01587677, -0.00000000
97, 27136749, 27137277, 0.06377968, -0.27714157, -0.01587677, -0.00000000
98, 27137749, 27138273, 0.06554263, -0.27714157, -0.01587677, -0.00000000
99, 27138749, 27139273, 0.06729981, -0.27714157, -0.01587677, -0.00000000
100, 27139749, 27140271, 0.06904968, -0.27714157, -0.01587677, -0.00000000
101, 27140749, 27141274, 0.07079164, -0.27714157, -0.01587677, -0.00000000
102, 27141749, 27142274, 0.07252483, -0.27714157, -0.01587677, -0.00000000
103, 27142749, 27143282, 0.07424747, -0.27714157, -0.01587677, -0.00000000
104, 27143749, 27144272, 0.07595727, -0.27714157, -0.01587677, -0.00000000
105, 27144749, 27145272, 0.07765273, -0.27714157, -0.01587677, -0.00000000
106, 27145749, 27146272, 0.07933123, -0.27714157, -0.01587677, -0.00000000
107, 27146749, 27147273, 0.08099163, -0.27714157, -0.01587677, -0.00000000
108, 27147749, 27148271, 0.08263330, -0.27714157, -0.01587677, -0.00000000
109, 27148749, 27149273, 0.08425434, -0.27714157, -0.01587677, -0.00000000
110, 27149749, 27150271, 0.08585268, -0.27714157, -0.01587677, -0.00000000
111, 27150749, 27151271, 0.08742747, -0.27714157, -0.01587677, -0.00000000
112, 27151749, 27152284, 0.08897902, -0.27714157, -0.01587677, -0.00000000
113, 27152749, 27153268, 0.09050678, -0.27714157, -0.01587677, -0.00000000
114, 27153749, 27154282, 0.09201032, -0.27714157, -0.01587677, -0.00000000
115, 27154749, 27155270, 0.09348995, -0.27714157, -0.01587677, -0.00000000
116, 27155749, 27156270, 0.09494507, -0.27714157, -0.01587677, -0.00000000
117, 27156749, 27157270, 0.09637682, -0.27714157, -0.01587677, -0.00000000
118, 27157749, 27158270, 0.09778565, -0.27714157, -0.01587677, -0.00000000
119, 27158749, 27159271, 0.09917147, -0.27714157, -0.01587677, -0.00000000
120, 27159749, 27160269, 0.10053520, -0.27714157, -0.01587677, -0.00000000
121, 27160749, 27161267, 0.10187633, -0.27714157, -0.01587677, -0.00000000
122, 27161749, 27162283, 0.10319609, -0.27714157, -0.01587677, -0.00000000
123, 27162749, 27163265, 0.10449523, -0.27714157, -0.01587677, -0.00000000
124, 27163749, 27164280, 0.10577410, -0.27714157, -0.01587677, -0.00000000
125, 27164749, 27165270, 0.10703276, -0.27714157, -0.01587677, -0.00000000
126, 27165749, 27166268, 0.10827144, -0.27714157, -0.01587677, -0.00000000
127, 27166749, 27167284, 0.10949068, -0.27714157, -0.01587677, -0.00000000
128, 27167749, 27168278, 0.11069016, -0.27714157, -0.01587677, -0.00000000
129, 27168749, 27169280, 0.11186896, -0.27714157, -0.01587677, -0.00000000
130, 27169749, 27170266, 0.11302786, -0.27714157, -0.01587677, -0.00000000
131, 27170749, 27171266, 0.11416678, -0.27714157, -0.01587677, -0.00000000
132, 27171749, 27172281, 0.11528572, -0.27714157, -0.01587677, -0.00000000
133, 27172749, 27173267, 0.11638482, -0.27714157, -0.01587677, -0.00000000
134, 27173749, 27174265, 0.11746403, -0.27714157, -0.01587677, -0.00000000
135, 27174749, 27175265, 0.11852298, -0.27714157, -0.01587677, -0.00000000
136, 27175749, 27176277, 0.11956184, -0.27714157, -0.01587677, -0.00000000
137, 27176749, 27177280, 0.12057988, -0.27714157, -0.01587677, -0.00000000
138, 27177749, 27178278, 0.12157608, -0.27714157, -0.01587677, -0.00000000
139, 27178749, 27179278, 0.12255125, -0.27714157, -0.01587677, -0.00000000
140, 27179749, 27180274, 0.12350491, -0.27714157, -0.01587677, -0.00000000
141, 27180749, 27181278, 0.12443592, -0.27714157, -0.01587677, -0.00000000
142, 27181749, 27182264, 0.12534615, -0.27714157, -0.01587677, -0.00000000
143, 27182749, 27183279, 0.12623538, -0.27714157, -0.01587677, -0.00000000
144, 27183749, 27184281, 0.12710439, -0.27714157, -0.01587677, -0.00000000
145, 27184749, 27185279, 0.12795395, -0.27714157, -0.01587677, -0.00000000
146, 27185749, 27186275, 0.12878427, -0.27714157, -0.01587677, -0.00000000
147, 27186749, 27187281, 0.12959540, -0.27714157, -0.01587677, -0.00000000
148, 27187749, 27188278, 0.13038835, -0.27714157, -0.01587677, -0.00000000
149, 27188749, 27189280, 0.13116360, -0.27714157, -0.01587677, -0.00000000
150, 27189749, 27190276, 0.13192205, -0.27714157, -0.01587677, -0.00000000
151, 27190749, 27191274, 0.13266492, -0.27714157, -0.01587677, -0.00000000
152, 27191749, 27192278, 0.13339217, -0.27714157, -0.01587677, -0.00000000
153, 27192749, 27193278, 0.13410379, -0.27714157, -0.01587677, -0.00000000
154, 27193749, 27194278, 0.13479909, -0.27714157, -0.01587677, -0.00000000
155, 27194749, 27195274, 0.13547876, -0.27714157, -0.01587677, -0.00000000
156, 27195749, 27196275, 0.13614278, -0.27714157, -0.01587677, -0.00000000
157, 27196749, 27197277, 0.13679054, -0.27714157, -0.01587677, -0.00000000
158, 27197749, 27198277, 0.13742216, -0.27714157, -0.01587677, -0.00000000
159, 27198749, 27199277, 0.13803817, -0.27714157, -0.01587677, -0.00000000
160, 27199749, 27200277, 0.13863967, -0.27714157, -0.01587677, -0.00000000
161, 27200749, 27201275, 0.13922644, -0.27714157, -0.01587677, -0.00000000
162, 27201749, 27202273, 0.13979833, -0.27714157, -0.01587677, -0.00000000
163, 27202749, 27203276, 0.14035587, -0.27714157, -0.01587677, -0.00000000
164, 27203749, 27204278, 0.14089975, -0.27714157, -0.01587677, -0.00000000
165, 27204749, 27205278, 0.14143077, -0.27714157, -0.01587677, -0.00000000
166, 27205749, 27206274, 0.14194892, -0.27714157, -0.01587677, -0.00000000
167, 27206749, 27207272, 0.14245430, -0.27714157, -0.01587677, -0.00000000
168, 27207749, 27208275, 0.14294764, -0.27714157, -0.01587677, -0.00000000
169, 27208749, 27209281, 0.14343117, -0.27714157, -0.01587677, -0.00000000
170, 27209749, 27210277, 0.14390464, -0.27714157, -0.01587677, -0.00000000
171, 27210749, 27211279, 0.14436936, -0.27714157, -0.01587677, -0.00000000
172, 27211749, 27212273, 0.14482518, -0.27714157, -0.01587677, -0.00000000
173, 27212749, 27213282, 0.14527322, -0.27714157, -0.01587677, -0.00000000
174, 27213749, 27214282, 0.14571451, -0.27714157, -0.01587677, -0.00000000
175, 27214749, 27215278, 0.14614975, -0.27714157, -0.01587677, -0.00000000
176, 27215749, 27216278, 0.14657874, -0.27714157, -0.01587677, -0.00000000
177, 27216749, 27217278, 0.14700249, -0.27714157, -0.01587677, -0.00000000
178, 27217749, 27218279, 0.14742097, -0.27714157, -0.01587677, -0.00000000
179, 27218749, 27219283, 0.14783455, -0.27714157, -0.01587677, -0.00000000
180, 27219749, 27220273, 0.14824343, -0.27714157, -0.01587677, -0.00000000
181, 27220749, 27221275, 0.14864670, -0.27714157, -0.01587677, -0.00000000
182, 27221749, 27222275, 0.14904405, -0.27714157, -0.01587677, -0.00000000
183, 27222749, 27223275, 0.14943531, -0.27714157, -0.01587677, -0.00000000
184, 27223749, 27224282, 0.14981924, -0.27714157, -0.01587677, -0.00000000
185, 27224749, 27225278, 0.15019584, -0.27714157, -0.01587677, -0.00000000
186, 27225749, 27226286, 0.15056440, -0.27714157, -0.01587677, -0.00000000
187, 27226749, 27227284, 0.15092437, -0.27714157, -0.01587677, -0.00000000
188, 27227749, 27228276, 0.15127440, -0.27714157, -0.01587677, -0.00000000
189, 27228749, 27229282, 0.15161300, -0.27714157, -0.01587677, -0.00000000
190, 27229749, 27230287, 0.15193932, -0.27714157, -0.01587677, -0.00000000
191, 27230749, 27231275, 0.15225272, -0.27714157, -0.01587677, -0.00000000
192, 27231749, 27232275, 0.15255244, -0.27714157, -0.01587677, -0.00000000
193, 27232749, 27233285, 0.15283784, -0.27714157, -0.01587677, -0.00000000
194, 27233749, 27234279, 0.15310705, -0.27714157, -0.01587677, -0.00000000
195, 27234749, 27235284, 0.15335867, -0.27714157, -0.01587677, -0.00000000
196, 27235749, 27236276, 0.15359159, -0.27714157, -0.01587677, -0.00000000
197, 27236749, 27237280, 0.15380548, -0.27714157, -0.01587677, -0.00000000
198, 27237749, 27238274, 0.15399916, -0.27714157, -0.01587677, -0.00000000
199, 27238749, 27239284, 0.15417233, -0.27714157, -0.01587677, -0.00000000
200, 27239749, 27240272, 0.15432514, -0.27714157, -0.01587677, -0.00000000
201, 27240749, 27241280, 0.15445572, -0.27714157, -0.01587677, -0.00000000
202, 27241749, 27242271, 0.15456334, -0.27714157, -0.01587677, -0.00000000
203, 27242749, 27243275, 0.15464674, -0.27714157, -0.01587677, -0.00000000
204, 27243749, 27244277, 0.15470466, -0.27714157, -0.01587677, -0.00000000
205, 27244749, 27245275, 0.15473612, -0.27714157, -0.01587677, -0.00000000
206, 27245749, 27246269, 0.15474081, -0.27714157, -0.01587677, -0.00000000
207, 27246749, 27247279, 0.15471742, -0.27714157, -0.01587677, -0.00000000
208, 27247749, 27248282, 0.15466467, -0.27714157, -0.01587677, -0.00000000
209, 27248749, 27249278, 0.15458244, -0.27714157, -0.01587677, -0.00000000
210, 27249749, 27250280, 0.15446857, -0.27714157, -0.01587677, -0.00000000
211, 27250749, 27251280, 0.15432157, -0.27714157, -0.01587677, -0.00000000
212, 27251749, 27252276, 0.15414129, -0.27714157, -0.01587677, -0.00000000
213, 27252749, 27253282, 0.15392724, -0.27714157, -0.01587677, -0.00000000
214, 27253749, 27254279, 0.15367940, -0.27714157, -0.01587677, -0.00000000
215, 27254749, 27255283, 0.15339744, -0.27714157, -0.01587677, -0.00000000
216, 27255749, 27256277, 0.15308021, -0.27714157, -0.01587677, -0.00000000
217, 27256749, 27257279, 0.15272774, -0.27714157, -0.01587677, -0.00000000
218, 27257749, 27258275, 0.15234070, -0.27714157, -0.01587677, -0.00000000
219, 27258749, 27259278, 0.15191858, -0.27714157, -0.01587677, -0.00000000
220, 27259749, 27260280, 0.15146032, -0.27714157, -0.01587677, -0.00000000
221, 27260749, 27261278, 0.15096593, -0.27714157, -0.01587677, -0.00000000
222, 27261749, 27262280, 0.15043576, -0.27714157, -0.01587677, -0.00000000
223, 27262749, 27263278, 0.14987080, -0.27714157, -0.01587677, -0.00000000
224, 27263749, 27264279, 0.14927225, -0.27714157, -0.01587677, -0.00000000
225, 27264749, 27265279, 0.14863981, -0.27714157, -0.01587677, -0.00000000
226, 27265749, 27266277, 0.14797314, -0.27714157, -0.01587677, -0.00000000
227, 27266749, 27267279, 0.14727296, -0.27714157, -0.01587677, -0.00000000
228, 27267749, 27268279, 0.14654052, -0.27714157, -0.01587677, -0.00000000
229, 27268749, 27269277, 0.14577650, -0.27714157, -0.01587677, -0.00000000
230, 27269749, 27270278, 0.14498158, -0.27714157, -0.01587677, -0.00000000
231, 27270749, 27271280, 0.14415644, -0.27714157, -0.01587677, -0.00000000
232, 27271749, 27272278, 0.14330047, -0.27714157, -0.01587677, -0.00000000
233, 27272749, 27273276, 0.14241374, -0.27714157, -0.01587677, -0.00000000
234, 27273749, 27274276, 0.14149629, -0.27714157, -0.01587677, -0.00000000
235, 27274749, 27275278, 0.14054881, -0.27714157, -0.01587677, -0.00000000
236, 27275749, 27276279, 0.13957210, -0.27714157, -0.01587677, -0.00000000
237, 27276749, 27277277, 0.13856657, -0.27714157, -0.01587677, -0.00000000
238, 27277749, 27278275, 0.13753244, -0.27714157, -0.01587677, -0.00000000
239, 27278749, 27279275, 0.13646924, -0.27714157, -0.01587677, -0.00000000
240, 27279749, 27280275, 0.13537727, -0.27714157, -0.01587677, -0.00000000
241, 27280749, 27281278, 0.13425745, -0.27714157, -0.01587677, -0.00000000
242, 27281749, 27282274, 0.13311069, -0.27714157, -0.01587677, -0.00000000
243, 27282749, 27283276, 0.13193683, -0.27714157, -0.01587677, -0.00000000
244, 27283749, 27284274, 0.13073641, -0.27714157, -0.01587677, -0.00000000
245, 27284749, 27285276, 0.12950964, -0.27714157, -0.01587677, -0.00000000
246, 27285749, 27286275, 0.12825654, -0.27714157, -0.01587677, -0.00000000
247, 27286749, 27287275, 0.12697838, -0.27714157, -0.01587677, -0.00000000
248, 27287749, 27288275, 0.12567443, -0.27714157, -0.01587677, -0.00000000
249, 27288749, 27289273, 0.12434424, -0.27714157, -0.01587677, -0.00000000
250, 27289749, 27290273, 0.12298811, -0.27714157, -0.01587677, -0.00000000
251, 27290749, 27291275, 0.12160638, -0.27714157, -0.01587677, -0.00000000
252, 27291749, 27292274, 0.12019894, -0.27714157, -0.01587677, -0.00000000
253, 27292749, 27293274, 0.11876579, -0.27714157, -0.01587677, -0.00000000
254, 27293749, 27294272, 0.11730570, -0.27714157, -0.01587677, -0.00000000
255, 27294749, 27295274, 0.11581885, -0.27714157, -0.01587677, -0.00000000
256, 27295749, 27296272, 0.11430581, -0.27714157, -0.01587677, -0.00000000
257, 27296749, 27297273, 0.11276636, -0.27714157, -0.01587677, -0.00000000
258, 27297749, 27298271, 0.11120109, -0.27714157, -0.01587677, -0.00000000
259, 27298749, 27299269, 0.10961013, -0.27714157, -0.01587677, -0.00000000
260, 27299749, 27300271, 0.10799402, -0.27714157, -0.01587677, -0.00000000
261, 27300749, 27301273, 0.10635259, -0.27714157, -0.01587677, -0.00000000
262, 27301749, 27302271, 0.10468623, -0.27714157, -0.01587677, -0.00000000
263, 27302749, 27303285, 0.10299445, -0.27714157, -0.01587677, -0.00000000
264, 27303749, 27304270, 0.10127831, -0.27714157, -0.01587677, -0.00000000
265, 27304749, 27305268, 0.09953927, -0.27714157, -0.01587677, -0.00000000
266, 27305749, 27306270, 0.09777797, -0.27714157, -0.01587677, -0.00000000
267, 27306749, 27307270, 0.09599460, -0.27714157, -0.01587677, -0.00000000
268, 27307749, 27308268, 0.09419023, -0.27714157, -0.01587677, -0.00000000
269, 27308749, 27309269, 0.09236553, -0.27714157, -0.01587677, -0.00000000
270, 27309749, 27310269, 0.09052114, -0.27714157, -0.01587677, -0.00000000
271, 27310749, 27311271, 0.08865920, -0.27714157, -0.01587677, -0.00000000
272, 27311749, 27312269, 0.08678039, -0.27714157, -0.01587677, -0.00000000
273, 27312749, 27313269, 0.08488409, -0.27714157, -0.01587677, -0.00000000
274, 27313749, 27314281, 0.08297197, -0.27714157, -0.01587677, -0.00000000
275, 27314749, 27315268, 0.08104297, -0.27714157, -0.01587677, -0.00000000
276, 27315749, 27316280, 0.07909787, -0.27714157, -0.01587677, -0.00000000
277, 27316749, 27317284, 0.07713679, -0.27714157, -0.01587677, -0.00000000
278, 27317749, 27318278, 0.07515975, -0.27714157, -0.01587677, -0.00000000
279, 27318749, 27319264, 0.07316685, -0.27714157, -0.01587677, -0.00000000
280, 27319749, 27320283, 0.07115704, -0.27714157, -0.01587677, -0.00000000
281, 27320749, 27321267, 0.06913074, -0.27714157, -0.01587677, -0.00000000
282, 27321749, 27322267, 0.06708905, -0.27714157, -0.01587677, -0.00000000
283, 27322749, 27323279, 0.06503049, -0.27714157, -0.01587677, -0.00000000
284, 27323749, 27324279, 0.06295448, -0.27714157, -0.01587677, -0.00000000
285, 27324749, 27325265, 0.06086106, -0.27714157, -0.01587677, -0.00000000
286, 27325749, 27326282, 0.05875093, -0.27714157, -0.01587677, -0.00000000
287, 27326749, 27327266, 0.05662237, -0.27714157, -0.01587677, -0.00000000
288, 27327749, 27328278, 0.05447678, -0.27714157, -0.01587677, -0.00000000
289, 27328749, 27329280, 0.05231300, -0.27714157, -0.01587677, -0.00000000
290, 27329749, 27330280, 0.05013188, -0.27714157, -0.01587677, -0.00000000
291, 27330749, 27331277, 0.04793236, -0.27714157, -0.01587677, -0.00000000
292, 27331749, 27332281, 0.04571536, -0.27714157, -0.01587677, -0.00000000
293, 27332749, 27333283, 0.04348232, -0.27714157, -0.01587677, -0.00000000
294, 27333749, 27334279, 0.04123351, -0.27714157, -0.01587677, -0.00000000
295, 27334749, 27335279, 0.03896926, -0.27714157, -0.01587677, -0.00000000
296, 27335749, 27336277, 0.03668967, -0.27714157, -0.01587677, -0.00000000
297, 27336749, 27337280, 0.03439518, -0.27714157, -0.01587677, -0.00000000
298, 27337749, 27338276, 0.03208743, -0.27714157, -0.01587677, -0.00000000
299, 27338749, 27339278, 0.02976621, -0.27714157, -0.01587677, -0.00000000
300, 27339749, 27340278, 0.02743292, -0.27714157, -0.01587677, -0.00000000
301, 27340749, 27341274, 0.02508840, -0.27714157, -0.01587677, -0.00000000
302, 27341749, 27342272, 0.02273203, -0.27714157, -0.01587677, -0.00000000
303, 27342749, 27343279, 0.02036473, -0.27714157, -0.01587677, -0.00000000
304, 27343749, 27344281, 0.01798907, -0.27714157, -0.01587677, -0.00000000
305, 27344749, 27345279, 0.01560625, -0.27714157, -0.01587677, -0.00000000
306, 27345749, 27346275, 0.01321751, -0.27714157, -0.01587677, -0.00000000
307, 27346749, 27347277, 0.01082267, -0.27714157, -0.01587677, -0.00000000
308, 27347749, 27348277, 0.00842294, -0.27714157, -0.01587677, -0.00000000
309, 27348749, 27349278, 0.00601996, -0.27714157, -0.01587677, -0.00000000
310, 27349749, 27350276, 0.00361419, -0.27714157, -0.01587677, -0.00000000
311, 27350749, 27351276, 0.00120661, -0.27714157, -0.01587677, -0.00000000
312, 27351749, 27352276, -0.00120275, -0.27714157, -0.01587677, -0.00000000
313, 27352749, 27353282, -0.00361321, -0.27714157, -0.01587677, -0.00000000
314, 27353749, 27354282, -0.00602276, -0.27714157, -0.01587677, -0.00000000
315, 27354749, 27355274, -0.00843177, -0.27714157, -0.01587677, -0.00000000
316, 27355749, 27356282, -0.01083985, -0.27714157, -0.01587677, -0.00000000
317, 27356749, 27357275, -0.01324579, -0.27714157, -0.01587677, -0.00000000
318, 27357749, 27358277, -0.01565051, -0.27714157, -0.01587677, -0.00000000
319, 27358749, 27359277, -0.01805352, -0.27714157, -0.01587677, -0.00000000
320, 27359749, 27360279, -0.02045429, -0.27714157, -0.01587677, -0.00000000
321, 27360749, 27361273, -0.02285196, -0.27714157, -0.01587677, -0.00000000
322, 27361749, 27362275, -0.02524786, -0.27714157, -0.01587677, -0.00000000
323, 27362749, 27363276, -0.02764191, -0.27714157, -0.01587677, -0.00000000
324, 27363749, 27364274, -0.03003389, -0.27714157, -0.01587677, -0.00000000
325, 27364749, 27365278, -0.03242445, -0.27714157, -0.01587677, -0.00000000
326, 27365749, 27366276, -0.03481414, -0.27714157, -0.01587677, -0.00000000
327, 27366749, 27367278, -0.03720178, -0.27637863, 0.01587677, -0.00000000
328, 27367749, 27368269, -0.03958858, -0.27561569, 0.11111450, 0.29439512
329, 27368749, 27369283, -0.04197426, -0.27370834, 0.26984406, 0.47519210
330, 27369749, 27370283, -0.04435874, -0.27180099, 0.49206543, 1.02781773
331, 27370749, 27371275, -0.04674290, -0.26913071, 0.74603271, 1.36720192
332, 27371749, 27372275, -0.04912625, -0.26607895, 1.06349182, 1.87002313
333, 27372749, 27373276, -0.05150945, -0.26264572, 1.47618866, 2.32601857
334, 27373749, 27374282, -0.05389334, -0.25768661, 2.01587677, 2.75325680
335, 27374749, 27375272, -0.05627892, -0.25272751, 2.58730316, 3.60442710
336, 27375749, 27376278, -0.05866660, -0.24662399, 3.12698364, 4.12715626
337, 27376749, 27377276, -0.06105747, -0.24013901, 3.69841003, 4.88977289
338, 27377749, 27378272, -0.06345210, -0.23327255, 4.26984406, 5.50531721
339, 27378749, 27379277, -0.06584964, -0.22602463, 4.90476227, 6.03053904
340, 27379749, 27380273, -0.06824966, -0.21763134, 5.53968048, 6.50029087
341, 27380749, 27381269, -0.07065224, -0.20923901, 6.17460632, 7.23074055
342, 27381749, 27382273, -0.07305807, -0.20046520, 6.71428680, 7.67896414
343, 27382749, 27383275, -0.07546636, -0.19169140, 7.19047546, 8.10142899
344, 27383749, 27384271, -0.07787764, -0.18253613, 7.69841003, 8.36087799
345, 27384749, 27385280, -0.08029018, -0.17299938, 8.07936859, 8.66741085
346, 27385749, 27386280, -0.08270457, -0.16384411, 8.46031952, 9.00285912
347, 27386749, 27387286, -0.08512035, -0.15468788, 8.71428680, 9.06167126
