Frame,20230915_CodeDev_KNHS_34A:T1,20230915_CodeDev_KNHS_34A:T10,20230915_CodeDev_KNHS_34A:Sternum,20230915_CodeDev_KNHS_34A:Rnip,20230915_CodeDev_KNHS_34A:Lnip
Frame,T1X,T1Y,T1Z,T10X,T10Y,T10Z,SternumX,SternumY,SternumZ,RnipX,RnipY,RnipZ,LnipX,LnipY,LnipZ
40,867.3556,252.8833,1447.155,847.182,251.0153,1182.421,988.8809,256.5999,1396.071,1047.945,162.265,1220.899,1044.081,362.2349,1227.435
41,867.3795,252.8843,1447.172,847.1838,251.0181,1182.495,988.9493,256.5657,1396.104,1047.959,162.2668,1220.886,1043.837,362.1494,1227.417
42,867.3646,252.8627,1447.198,847.1624,251.0226,1182.514,988.8793,256.5228,1396.092,1047.92,162.2491,1220.877,1043.799,362.1239,1227.401
43,867.3776,252.8718,1447.192,847.1397,251.0298,1182.525,988.9221,256.4948,1396.131,1047.903,162.2159,1220.855,1043.757,362.111,1227.379
44,867.3512,252.8644,1447.185,847.1594,251.0571,1182.507,988.8751,256.5064,1396.088,1047.902,162.2238,1220.845,1043.959,362.1946,1227.366
45,867.3499,252.9023,1447.19,847.1464,251.0676,1182.506,988.935,256.505,1396.136,1047.911,162.2526,1220.847,1043.945,362.2314,1227.37
46,867.3253,252.9045,1447.19,847.1221,251.0881,1182.458,988.8867,256.5508,1396.12,1047.919,162.3126,1220.838,1043.944,362.2878,1227.375
47,867.2967,252.9206,1447.176,847.1052,251.092,1182.425,988.7938,256.6213,1396.055,1047.915,162.3472,1220.835,1043.71,362.2471,1227.373
48,867.2975,252.932,1447.145,847.0883,251.1059,1182.417,988.8422,256.6646,1396.101,1047.933,162.421,1220.824,1043.721,362.3178,1227.383
49,867.2829,252.9458,1447.147,847.0717,251.0923,1182.396,988.8583,256.7443,1396.13,1047.97,162.4864,1220.851,1043.731,362.3806,1227.39
50,867.2675,252.9551,1447.143,847.0491,251.0753,1182.376,988.8969,256.7978,1396.153,1047.987,162.548,1220.863,1043.726,362.417,1227.421
51,867.2752,252.9716,1447.142,847.035,251.0629,1182.399,988.8942,256.8083,1396.176,1047.999,162.5856,1220.871,1043.726,362.4478,1227.434
52,867.2941,252.9684,1447.151,847.0386,251.1128,1182.415,988.8969,256.7999,1396.176,1047.987,162.5732,1220.897,1043.711,362.4511,1227.452
53,867.2756,252.9854,1447.162,847.0496,251.1434,1182.456,988.8478,256.7956,1396.177,1047.975,162.5784,1220.913,1043.708,362.4547,1227.476
54,867.2886,252.9986,1447.162,847.0356,251.1735,1182.497,988.9584,256.8408,1396.285,1047.956,162.58,1220.922,1043.704,362.4525,1227.492
55,867.2767,253.0194,1447.185,847.0577,251.2052,1182.533,988.8423,256.777,1396.212,1047.953,162.5663,1220.927,1043.702,362.4569,1227.481
56,867.2743,253.0207,1447.189,847.0649,251.2418,1182.529,988.791,256.762,1396.19,1047.952,162.5632,1220.942,1043.892,362.5248,1227.492
57,867.2521,253.0331,1447.198,847.0236,251.2726,1182.557,988.7839,256.7585,1396.204,1047.914,162.5804,1220.944,1043.646,362.4396,1227.49
58,867.2346,253.0189,1447.2,847.002,251.3083,1182.553,988.7496,256.7196,1396.211,1047.897,162.5487,1220.96,1043.846,362.4975,1227.516
59,867.2258,253.0209,1447.202,847.0044,251.3286,1182.555,988.8008,256.7044,1396.268,1047.884,162.5532,1220.968,1043.63,362.4348,1227.534
60,867.2058,253.0338,1447.198,847.0247,251.3742,1182.532,988.7317,256.7362,1396.237,1047.88,162.5629,1220.964,1043.855,362.5354,1227.556
61,867.1951,253.0392,1447.206,847.0372,251.3864,1182.516,988.7374,256.7476,1396.264,1047.88,162.5758,1220.986,1043.64,362.4641,1227.593
